"Dep.Country.Code","vbs","date","n"
"BR","DE",2022-08-09,1
"BR","IT",2022-08-16,1
"BR","MX",2022-08-13,1
"BR","OTHER",2022-07-13,1
"BR","OTHER",2022-07-21,1
"BR","OTHER",2022-07-30,1
"BR","OTHER",2022-08-05,1
"BR","OTHER",2022-08-06,2
"BR","OTHER",2022-08-10,1
"BR","OTHER",2022-08-14,1
"BR","OTHER",2022-08-24,1
"BR","OTHER",2022-08-25,1
"BR","US",2022-07-09,1
"BR","US",2022-08-03,1
"BR","US",2022-08-12,1
"CA","AU",2022-08-10,1
"CA","DE",2022-08-05,1
"CA","FR",2022-07-23,1
"CA","IN",2022-07-31,1
"CA","JP",2022-07-14,1
"CA","MX",2022-06-24,1
"CA","OTHER",2022-05-30,1
"CA","OTHER",2022-06-04,1
"CA","OTHER",2022-06-11,1
"CA","OTHER",2022-06-14,1
"CA","OTHER",2022-06-28,1
"CA","OTHER",2022-07-10,2
"CA","OTHER",2022-07-14,1
"CA","OTHER",2022-07-22,1
"CA","OTHER",2022-07-31,2
"CA","OTHER",2022-08-04,1
"CA","PH",2022-06-23,1
"CA","US",2022-05-23,1
"CA","US",2022-06-06,1
"CA","US",2022-06-13,2
"CA","US",2022-06-28,1
"CA","US",2022-07-01,1
"CA","US",2022-07-09,1
"CA","US",2022-07-10,1
"CA","US",2022-07-11,2
"CA","US",2022-07-13,1
"CA","US",2022-07-29,1
"CA","US",2022-07-31,1
"CA","US",2022-08-18,1
"CA","US",2022-08-25,1
"CO","MX",2022-08-09,1
"CO","MX",2022-08-30,1
"CO","OTHER",2022-07-19,1
"CO","OTHER",2022-08-10,1
"CO","OTHER",2022-08-17,1
"CO","OTHER",2022-08-27,1
"CO","OTHER",2022-08-29,1
"CO","PA",2022-08-15,1
"CO","US",2022-08-06,2
"DE","BR",2022-07-03,1
"DE","CA",2022-07-25,1
"DE","CH",2022-08-03,1
"DE","DK",2022-05-25,1
"DE","DK",2022-06-30,1
"DE","DK",2022-07-02,1
"DE","DK",2022-07-11,1
"DE","DK",2022-07-14,1
"DE","DK",2022-07-16,1
"DE","DK",2022-08-19,1
"DE","FR",2022-06-15,1
"DE","IN",2022-07-19,1
"DE","IN",2022-08-25,1
"DE","IT",2022-05-31,1
"DE","IT",2022-06-06,1
"DE","IT",2022-06-27,1
"DE","IT",2022-07-01,1
"DE","IT",2022-07-09,1
"DE","IT",2022-07-12,1
"DE","IT",2022-07-15,1
"DE","IT",2022-07-19,1
"DE","IT",2022-07-20,1
"DE","IT",2022-07-21,1
"DE","IT",2022-07-25,1
"DE","IT",2022-07-29,1
"DE","IT",2022-08-11,1
"DE","IT",2022-08-21,1
"DE","IT",2022-08-23,1
"DE","MX",2022-08-10,1
"DE","NO",2022-06-21,1
"DE","OTHER",2022-05-27,1
"DE","OTHER",2022-06-03,1
"DE","OTHER",2022-06-06,1
"DE","OTHER",2022-06-09,1
"DE","OTHER",2022-06-11,1
"DE","OTHER",2022-06-12,1
"DE","OTHER",2022-06-13,2
"DE","OTHER",2022-06-14,3
"DE","OTHER",2022-06-15,1
"DE","OTHER",2022-06-16,2
"DE","OTHER",2022-06-17,1
"DE","OTHER",2022-06-19,1
"DE","OTHER",2022-06-20,1
"DE","OTHER",2022-06-22,2
"DE","OTHER",2022-06-24,1
"DE","OTHER",2022-06-25,1
"DE","OTHER",2022-06-26,2
"DE","OTHER",2022-06-30,2
"DE","OTHER",2022-07-01,2
"DE","OTHER",2022-07-02,1
"DE","OTHER",2022-07-03,1
"DE","OTHER",2022-07-04,4
