"Dep.Country.Code","vbs","date","n"
"BR","AU",2022-08-25,1
"BR","CH",2022-08-21,1
"BR","IN",2022-07-30,1
"BR","IT",2022-08-26,1
"BR","MX",2022-07-25,1
"BR","OTHER",2022-07-12,1
"BR","OTHER",2022-08-05,1
"BR","OTHER",2022-08-12,1
"BR","OTHER",2022-08-21,1
"BR","US",2022-07-19,1
"BR","US",2022-07-28,1
"BR","US",2022-08-09,1
"BR","US",2022-08-16,1
"BR","US",2022-09-06,1
"CA","AR",2022-08-13,1
"CA","AU",2022-07-03,1
"CA","FR",2022-08-11,1
"CA","MX",2022-07-29,1
"CA","MX",2022-08-11,1
"CA","NZ",2022-08-06,1
"CA","OTHER",2022-05-21,1
"CA","OTHER",2022-06-22,1
"CA","OTHER",2022-06-23,1
"CA","OTHER",2022-06-30,1
"CA","OTHER",2022-07-05,1
"CA","OTHER",2022-07-07,1
"CA","OTHER",2022-07-18,1
"CA","OTHER",2022-07-19,1
"CA","OTHER",2022-07-22,1
"CA","OTHER",2022-07-23,2
"CA","OTHER",2022-08-04,1
"CA","OTHER",2022-08-05,1
"CA","OTHER",2022-08-07,1
"CA","TW",2022-06-24,1
"CA","TW",2022-08-17,1
"CA","US",2022-06-12,1
"CA","US",2022-06-22,1
"CA","US",2022-07-01,1
"CA","US",2022-07-07,1
"CA","US",2022-07-12,1
"CA","US",2022-07-25,2
"CA","US",2022-07-26,2
"CA","US",2022-08-04,1
"CA","US",2022-08-05,1
"CA","US",2022-08-17,1
"CA","US",2022-08-19,1
"CA","US",2022-08-25,1
"CA","US",2022-08-27,1
"CA","US",2022-09-03,1
"CO","CA",2022-08-12,1
"CO","OTHER",2022-08-22,1
"CO","PA",2022-09-01,1
"DE","CA",2022-07-28,1
"DE","CH",2022-06-25,1
"DE","CH",2022-08-02,1
"DE","DK",2022-07-17,1
"DE","DK",2022-08-03,1
"DE","FR",2022-06-30,1
"DE","FR",2022-07-19,1
"DE","FR",2022-07-31,1
"DE","IT",2022-06-15,1
"DE","IT",2022-06-22,1
