"Dep.Country.Code","vbs","date","n"
"BR","AR",2022-07-10,1
"BR","AR",2022-08-06,1
"BR","AR",2022-08-09,1
"BR","FR",2022-07-27,1
"BR","IL",2022-08-24,1
"BR","MX",2022-08-09,1
"BR","OTHER",2022-07-12,1
"BR","OTHER",2022-07-16,1
"BR","OTHER",2022-07-18,1
"BR","OTHER",2022-07-29,1
"BR","OTHER",2022-08-03,1
"BR","OTHER",2022-08-07,1
"BR","OTHER",2022-08-08,1
"BR","OTHER",2022-08-12,1
"BR","OTHER",2022-08-13,1
"BR","OTHER",2022-08-19,1
"BR","OTHER",2022-08-20,1
"BR","OTHER",2022-08-23,1
"BR","OTHER",2022-08-26,1
"BR","US",2022-08-07,1
"BR","US",2022-08-24,1
"BR","US",2022-09-01,2
"CA","FR",2022-07-28,1
"CA","IT",2022-07-26,1
"CA","OTHER",2022-06-02,1
"CA","OTHER",2022-06-23,1
"CA","OTHER",2022-06-26,1
"CA","OTHER",2022-07-04,1
"CA","OTHER",2022-07-12,1
"CA","OTHER",2022-07-13,1
"CA","OTHER",2022-07-15,1
"CA","OTHER",2022-08-17,1
"CA","OTHER",2022-08-18,1
"CA","OTHER",2022-08-24,1
"CA","US",2022-06-09,1
"CA","US",2022-06-21,1
"CA","US",2022-07-13,1
"CA","US",2022-07-24,2
"CA","US",2022-08-02,2
"CA","US",2022-08-04,1
"CA","US",2022-08-05,1
"CA","US",2022-08-09,1
"CA","US",2022-08-11,1
"CA","US",2022-09-01,1
"CO","FR",2022-08-11,1
"CO","IT",2022-08-16,1
"CO","OTHER",2022-08-21,1
"CO","OTHER",2022-09-02,1
"CO","US",2022-08-26,1
"DE","CA",2022-06-02,1
"DE","CA",2022-06-25,1
"DE","CH",2022-06-06,1
"DE","FI",2022-07-06,1
"DE","FR",2022-06-17,1
"DE","FR",2022-06-24,1
"DE","FR",2022-07-03,1
"DE","FR",2022-09-01,1
"DE","IT",2022-06-13,1
"DE","IT",2022-06-17,1
"DE","IT",2022-06-24,1
